date,real,predict,predict_lower_bound,predict_upper_bound
2023-10-08,529,2415,4301.0,529.0
2023-10-15,665,2054,3467.85,640.1500000000001
2023-10-22,586,2381,3810.6000000000004,951.3999999999999
2023-10-29,676,2550,3999.9,1100.1
2023-11-05,1027,2658,4095.4,1220.6
2023-11-12,1078,2025,3082.5,967.5
2023-11-19,1397,2219,3078.5,1359.5
2023-11-26,1473,2545,3410.75,1679.25
2023-12-03,2042,2878,3705.6,2050.4
2023-12-10,3172,3009,3289.250000000001,2728.749999999999
2023-12-17,2582,2534,2428.5,2639.5
2023-12-24,2699,2629,2517.15,2740.85
2023-12-31,5545,2698,1461.4000000000037,3934.5999999999963
2024-01-07,7182,2932,0.0,6270.049999999999
2024-01-14,9889,3406,0.0,8325.899999999998
2024-01-21,12103,3660,0.0,10633.0
2024-01-28,12548,4282,0.0,12583.4
2024-02-04,15697,4497,0.0,13353.549999999996
2024-02-11,21029,4981,0.0,16665.79999999999
2024-02-18,25552,5704,0.0,21942.0
2024-02-25,27678,6211,0.0,26059.0
2024-03-03,33914,6518,0.0,27985.0
2024-03-10,39538,7247,0.0,34643.0
2024-03-17,44870,7322,0.0,39613.0
2024-03-24,42881,7541,0.0,42881.0
2024-03-31,46870,8016,0.0,45564.0
2024-04-07,45503,7687,0.0,45503.0
2024-04-14,44865,7909,0.0,45725.0
2024-04-21,35280,7233,0.0,45049.0
2024-04-28,36298,6472,0.0,44288.0
2024-05-05,36830,5970,0.0,43786.0
2024-05-12,30880,4765,0.0,42581.0
2024-05-19,19300,4460,0.0,42276.0
2024-05-26,10021,3653,0.0,41469.0
2024-06-02,3162,3320,0.0,41136.0
