date,real,predict,predict_lower_bound,predict_upper_bound
2022-10-09,417,0,0.0,417.0
2022-10-16,464,0,0.0,461.65
2022-10-23,467,0,0.0,466.7
2022-10-30,357,0,0.0,466.55
2022-11-06,320,0,0.0,466.4
2022-11-13,325,0,0.0,466.25
2022-11-20,405,0,0.0,466.1
2022-11-27,383,0,0.0,465.95
2022-12-04,368,0,0.0,465.8
2022-12-11,367,0,0.0,465.65
2022-12-18,253,0,0.0,465.5
2022-12-25,764,0,0.0,600.6499999999997
2023-01-01,2403,0,0.0,1419.5999999999976
2023-01-08,3149,1081,0.0,3266.25
2023-01-15,4424,1659,0.0,4170.599999999999
2023-01-22,5348,2658,0.0,5366.75
2023-01-29,8307,2430,0.0,5817.399999999998
2023-02-05,10747,4384,0.0,10333.9
2023-02-12,11147,5637,0.0,11562.599999999999
2023-02-19,12762,6226,0.0,12597.650000000001
2023-02-26,16314,7594,1058.0,14130.0
2023-03-05,19615,8051,0.0,16771.0
2023-03-12,22052,8378,0.0,19942.0
2023-03-19,24680,9425,0.0,23099.0
2023-03-26,25995,11091,0.0,25995.0
2023-04-02,25014,11449,0.0,26353.0
2023-04-09,28928,12263,0.0,27518.0
2023-04-16,25885,10861,0.0,26116.0
2023-04-23,22023,10275,0.0,25530.0
2023-04-30,22246,9204,0.0,24459.0
2023-05-07,20156,7853,0.0,23108.0
2023-05-14,16231,2927,0.0,18182.0
2023-05-21,10976,2037,0.0,17292.0
2023-05-28,8363,1237,0.0,16492.0
2023-06-04,6261,0,0.0,15255.0
2023-06-11,5239,1134,0.0,16389.0
2023-06-18,3907,0,0.0,15255.0
2023-06-25,2582,0,0.0,15255.0
2023-07-02,1895,0,0.0,15255.0
2023-07-09,1506,0,0.0,15255.0
2023-07-16,1336,0,0.0,15255.0
2023-07-23,1126,0,0.0,15255.0
2023-07-30,1027,0,0.0,15255.0
2023-08-06,1020,0,0.0,15255.0
2023-08-13,928,0,0.0,15024.0
2023-08-20,875,1197,0.0,16221.0
2023-08-27,839,136,0.0,15160.0
2023-09-03,707,0,0.0,13304.0
2023-09-10,959,0,0.0,13042.0
2023-09-17,1046,0,0.0,13042.0
2023-09-24,1004,734,0.0,13037.0
