date,real,predict,predict_lower_bound,predict_upper_bound
2023-10-08,55.0,78,101.0,55.0
2023-10-15,73.0,115,138.95,91.05
2023-10-22,82.0,108,131.3,84.7
2023-10-29,62.00000000000001,93,116.45,69.55
2023-11-05,115.0,123,134.0,112.0
2023-11-12,114.0,88,70.5,105.5
2023-11-19,153.0,145,124.4,165.6
2023-11-26,156.00000000000003,159,139.3,178.7
2023-12-03,204.0,186,163.2,208.8
2023-12-10,300.0,184,108.5000000000001,259.4999999999999
2023-12-17,313.0,169,39.0,299.0
2023-12-24,256.0,200,71.40000000000003,328.59999999999997
2023-12-31,597.0,168,0.0,425.9999999999996
2024-01-07,523.0,173,0.0,550.65
2024-01-14,690.0,170,0.0,626.3
2024-01-21,507.0,177,0.0,628.75
2024-01-28,602.0,176,0.0,623.1999999999999
2024-02-04,615.0,156,0.0,624.1499999999999
2024-02-11,607.0,185,0.0,650.0999999999999
2024-02-18,616.0,102,0.0,616.3
2024-02-25,663.0,186,0.0,700.0
2024-03-03,625.0,172,0.0,686.0
2024-03-10,506.0,209,0.0,723.0
2024-03-17,401.0,183,0.0,697.0
2024-03-24,259.0,184,0.0,698.0
2024-03-31,309.0,202,0.0,716.0
2024-04-07,213.00000000000003,175,0.0,689.0
2024-04-14,203.00000000000003,173,0.0,687.0
2024-04-21,176.00000000000003,190,0.0,704.0
2024-04-28,154.0,171,0.0,685.0
2024-05-05,175.00000000000003,169,0.0,683.0
2024-05-12,156.00000000000003,180,0.0,694.0
2024-05-19,191.0,176,0.0,690.0
2024-05-26,138.00000000000003,128,0.0,642.0
2024-06-02,36.0,180,0.0,694.0
