date,real,predict,predict_lower_bound,predict_upper_bound
2022-10-09,921,1396,1871.0,921.0
2022-10-16,867,1240,1618.1,861.9
2022-10-23,762,1427,1810.2,1043.8
2022-10-30,649,795,975.0500000000001,614.9499999999999
2022-11-06,949,1051,1161.8,940.2
2022-11-13,959,1497,1610.0,1384.0
2022-11-20,921,1523,1638.2,1407.8
2022-11-27,923,1818,1935.4,1700.6
2022-12-04,842,1800,1919.6,1680.4
2022-12-11,680,1634,1755.8,1512.2
2022-12-18,327,1503,1627.0,1379.0
2022-12-25,527,1995,2121.2,1868.8
2023-01-01,1532,2593,2721.4,2464.6
2023-01-08,1554,3501,3631.6,3370.4
2023-01-15,1785,4152,4284.8,4019.2
2023-01-22,1596,4546,4681.0,4411.0
2023-01-29,2097,4678,4815.2,4540.8
2023-02-05,2116,4981,5120.4,4841.6
2023-02-12,1867,5236,5377.6,5094.4
2023-02-19,1863,5348,5491.8,5204.2
2023-02-26,2230,5608,5754.0,5462.0
2023-03-05,2320,5635,5781.0,5489.0
2023-03-12,2423,5676,5822.0,5530.0
2023-03-19,3044,5804,5950.0,5658.0
2023-03-26,2970,5955,6493.0,5417.0
2023-04-02,2275,5792,6394.0,5190.0
2023-04-09,2847,5816,6711.0,4921.0
2023-04-16,2611,5565,6519.0,4611.0
2023-04-23,2396,5651,6609.0,4693.0
2023-04-30,2599,5634,6695.0,4573.0
2023-05-07,2382,5392,6568.0,4216.0
2023-05-14,2105,4179,5647.0,2711.0
2023-05-21,1511,3801,5748.0,1854.0
2023-05-28,1360,3448,5522.0,1374.0
2023-06-04,1077,2516,4590.0,442.0
2023-06-11,1077,3149,5221.0,1077.0
2023-06-18,868,2115,3554.0,676.0
2023-06-25,727,2132,3537.0,727.0
2023-07-02,622,1332,2579.0,85.0
2023-07-09,616,2073,3320.0,826.0
2023-07-16,577,2075,3322.0,828.0
2023-07-23,527,1994,3241.0,747.0
2023-07-30,599,1611,2623.0,599.0
2023-08-06,567,1847,2859.0,835.0
2023-08-13,689,2004,3016.0,992.0
2023-08-20,627,2234,3246.0,1222.0
2023-08-27,683,2028,3040.0,1016.0
2023-09-03,676,1995,3007.0,983.0
2023-09-10,820,1701,2582.0,820.0
2023-09-17,869,1754,2635.0,873.0
2023-09-24,735,2249,3130.0,1368.0
