date,real,predict,predict_lower_bound,predict_upper_bound
2023-10-08,85,0,0.0,85.0
2023-10-15,88,0,0.0,87.85
2023-10-22,86,0,0.0,87.8
2023-10-29,61,0,0.0,87.7
2023-11-05,78,0,0.0,87.6
2023-11-12,63,0,0.0,87.5
2023-11-19,84,0,0.0,87.4
2023-11-26,75,0,0.0,87.3
2023-12-03,81,0,0.0,87.2
2023-12-10,64,0,0.0,87.1
2023-12-17,26,0,0.0,87.0
2023-12-24,28,0,0.0,86.9
2023-12-31,77,0,0.0,86.8
2024-01-07,74,0,0.0,86.7
2024-01-14,104,0,0.0,92.79999999999998
2024-01-21,124,0,0.0,109.0
2024-01-28,170,50,0.0,170.8
2024-02-04,181,112,0.0,232.6
2024-02-11,261,261,140.60000000000002,381.4
2024-02-18,358,149,20.749999999999943,277.25000000000006
2024-02-25,451,370,246.0,494.0
2024-03-03,543,413,283.0,543.0
2024-03-10,522,476,346.0,606.0
2024-03-17,535,789,659.0,919.0
2024-03-24,510,870,740.0,1000.0
2024-03-31,927,1279,1149.0,1409.0
2024-04-07,1045,1365,1235.0,1495.0
2024-04-14,1022,1326,1196.0,1456.0
2024-04-21,800,1633,1503.0,1763.0
2024-04-28,874,1672,1542.0,1802.0
2024-05-05,781,1842,1712.0,1972.0
2024-05-12,706,1880,1750.0,2010.0
2024-05-19,636,1617,1487.0,1747.0
2024-05-26,398,1235,1105.0,1365.0
2024-06-02,92,952,822.0,1082.0
